,columns,missing values count
501,Sensor - 502,90
502,Sensor - 503,90
503,Sensor - 504,90
504,Sensor - 505,90
505,Sensor - 506,90
506,Sensor - 507,90
507,Sensor - 508,90
508,Sensor - 509,90
509,Sensor - 510,90
510,Sensor - 511,36
511,Sensor - 512,36
512,Sensor - 513,90
513,Sensor - 514,90
514,Sensor - 515,90
515,Sensor - 516,90
516,Sensor - 517,5184
517,Sensor - 518,5184
518,Sensor - 519,5184
519,Sensor - 520,10026
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,432
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,54
529,Sensor - 530,54
530,Sensor - 531,54
531,Sensor - 532,54
532,Sensor - 533,54
533,Sensor - 534,54
534,Sensor - 535,54
535,Sensor - 536,54
536,Sensor - 537,54
537,Sensor - 538,54
538,Sensor - 539,54
539,Sensor - 540,54
540,Sensor - 541,54
541,Sensor - 542,54
542,Sensor - 543,36
543,Sensor - 544,36
544,Sensor - 545,36
545,Sensor - 546,36
546,Sensor - 547,1314
547,Sensor - 548,1314
548,Sensor - 549,1314
549,Sensor - 550,1314
550,Sensor - 551,1314
551,Sensor - 552,1314
552,Sensor - 553,1314
553,Sensor - 554,1314
554,Sensor - 555,1314
555,Sensor - 556,1314
556,Sensor - 557,1314
557,Sensor - 558,1314
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,270
563,Sensor - 564,270
564,Sensor - 565,270
565,Sensor - 566,270
566,Sensor - 567,270
567,Sensor - 568,270
568,Sensor - 569,270
569,Sensor - 570,270
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,9036
579,Sensor - 580,9036
580,Sensor - 581,9036
581,Sensor - 582,9036
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
